#Release 14.3 - par P.40xd (lin64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Mon Aug 15 01:21:31 2022

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       cpu_facade_map.ncd
#OUTPUT FILE:      cpu_facade_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -5
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P108,,,TMS,,,,,,,,,,,,
P109,,,TDO,,,,,,,,,,,,
P110,,,TCK,,,,,,,,,,,,
P111,,IBUF,IP,UNUSED,,0,,,,,,,,,
P112,out_r1_w,IOB,IO_L01P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P113,out_r2_w,IOB,IO_L01N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P114,,IBUF,IP,UNUSED,,0,,,,,,,,,
P115,,,VCCINT,,,,,,,,1.2,,,,
P116,out_r3_w,IOB,IO_L02P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P117,in_r3_w,IBUF,IO_L02N_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P118,,,GND,,,,,,,,,,,,
P119,in_r2_w,IBUF,IP_L03P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P120,in_r1_w,IBUF,IP_L03N_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P121,,,VCCO_0,,,0,,,,,2.50,,,,
P122,in_r0_w,IBUF,IO_L04P_0/GCLK4,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P123,in_temp_w,IBUF,IO_L04N_0/GCLK5,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P124,out_r3_r,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P125,out_r2_r,IOB,IO_L05P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P126,out_r1_r,IOB,IO_L05N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P127,,,GND,,,,,,,,,,,,
P128,,DIFFMI,IP_L06P_0/GCLK8,UNUSED,,0,,,,,,,,,
P129,,DIFFSI,IP_L06N_0/GCLK9,UNUSED,,0,,,,,,,,,
P130,out_r0_r,IOB,IO_L07P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P131,out_bus1,IOB,IO_L07N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P132,out_ram_r,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P133,,,GND,,,,,,,,,,,,
P134,out_acc_r,IOB,IO_L08P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P135,out_iar_r,IOB,IO_L08N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P136,in_ram_w,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P137,,,VCCAUX,,,,,,,,2.5,,,,
P138,,,VCCO_0,,,0,,,,,2.50,,,,
P139,in_ram_a_w,IBUF,IO_L09P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P140,in_acc_w,IBUF,IO_L09N_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P141,in_ir_w,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P142,in_iar_w,IBUF,IO_L10P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P143,,DIFFS,IO_L10N_0/HSWAP,UNUSED,,0,,,,,,,,,
P144,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
